word_id,word,pos,cefr,theme,frequency_rank
word_0154_A2,know,verb,A2,General,154
word_0155_B2,development,noun,B2,General,155
word_0156_A2,another,determiner,A2,General,156
word_0157_B1,since,preposition,B1,General,157
word_0158_B1,power,noun,B1,General,158
word_0159_B1,university,noun,B1,General,159
word_0160_C1,data,noun,C1,General,160
word_0161_A2,school,noun,A2,General,161
word_0162_A2,take,verb,A2,General,162
word_0163_A2,different,adjective,A2,General,163
word_0164_A2,great,adjective,A2,General,164
word_0165_B1,research,noun,B1,General,165
word_0166_A2,large,adjective,A2,General,166
word_0167_A2,house,noun,A2,General,167
word_0168_A2,york,noun,A2,General,168
word_0169_B2,general,adjective,B2,General,169
word_0170_A2,city,noun,A2,General,170
word_0171_A2,small,adjective,A2,General,171
word_0172_A2,business,noun,A2,General,172
word_0173_B1,still,adverb,B1,General,173
word_0174_A2,men,noun,A2,General,174
word_0175_B1,might,verb,B1,General,175
word_0176_A2,get,verb,A2,General,176
word_0177_A2,every,determiner,A2,General,177
word_0178_A2,place,noun,A2,General,178
word_0179_B1,committee,noun,B1,General,179
word_0180_B1,area,noun,B1,General,180
word_0181_A2,group,noun,A2,General,181
word_0182_A2,too,adverb,A2,General,182
word_0183_B2,department,noun,B2,General,183
word_0184_A2,children,noun,A2,General,184
word_0185_A2,point,noun,A2,General,185
word_0186_B2,public,adjective,B2,General,186
word_0187_A2,important,adjective,A2,General,187
word_0188_A2,think,verb,A2,General,188
word_0189_B1,fact,noun,B1,General,189
word_0190_B1,value,noun,B1,General,190
word_0191_B1,education,noun,B1,General,191
word_0192_B1,last,adjective,B1,General,192
word_0193_A2,come,verb,A2,General,193
word_0194_A2,back,adverb,A2,General,194
word_0195_A2,period,noun,A2,General,195
word_0196_B1,control,noun,B1,General,196
word_0197_B1,report,noun,B1,General,197
word_0198_A2,go,verb,A2,General,198
word_0199_A2,program,noun,A2,General,199
word_0200_A2,office,noun,A2,General,200
word_0201_A2,so,preposition,A2,General,201
word_0202_A2,second,adjective,A2,General,202
word_0203_B1,few,adjective,B1,General,203
word_0204_B1,study,noun,B1,General,204
word_0205_A2,say,verb,A2,General,205
word_0206_A2,end,noun,A2,General,206
word_0207_A2,health,noun,A2,General,207
word_0208_B1,interest,noun,B1,General,208
word_0209_B2,thus,adverb,B2,General,209
word_0210_A2,war,noun,A2,General,210
word_0211_A2,long,adjective,A2,General,211
word_0212_A2,much,adverb,A2,General,212
word_0213_A2,never,adverb,A2,General,213
word_0214_B2,services,noun,B2,General,214
word_0215_A2,board,noun,A2,General,215
word_0216_A2,form,noun,A2,General,216
word_0217_B1,possible,adjective,B1,General,217
word_0218_B1,country,noun,B1,General,218
word_0219_A2,until,preposition,A2,General,219
word_0220_A2,little,adjective,A2,General,220
word_0221_A2,old,adjective,A2,General,221
word_0222_A2,again,adverb,A2,General,222
word_0223_A2,most,adjective,A2,General,223
word_0224_B2,process,noun,B2,General,224
word_0225_B2,whether,preposition,B2,General,225
word_0226_A2,action,noun,A2,General,226
word_0227_A2,example,noun,A2,General,227
word_0228_B1,certain,adjective,B1,General,228
word_0229_B1,members,noun,B1,General,229
word_0230_B1,among,preposition,B1,General,230
word_0231_B1,effect,noun,B1,General,231
word_0232_B1,rate,noun,B1,General,232
word_0233_A2,home,noun,A2,General,233
word_0234_B1,several,adjective,B1,General,234
word_0235_A2,give,verb,A2,General,235
word_0236_A2,cases,noun,A2,General,236
word_0237_A2,course,noun,A2,General,237
word_0238_A2,having,verb,A2,General,238
word_0239_A2,line,noun,A2,General,239
word_0240_B2,present,adjective,B2,General,240
word_0241_B2,county,noun,B2,General,241
word_0242_A2,women,noun,A2,General,242
word_0243_A2,social,adjective,A2,General,243
word_0244_B1,taken,verb,B1,General,244
word_0245_A2,john,noun,A2,General,245
word_0246_B2,available,adjective,B2,General,246
word_0247_A2,question,noun,A2,General,247
word_0248_A2,days,noun,A2,General,248
word_0249_A2,person,noun,A2,General,249
word_0250_B2,president,noun,B2,General,250
word_0251_B2,land,noun,B2,General,251
word_0252_B1,although,preposition,B1,General,252
word_0253_B1,local,adjective,B1,General,253
word_0254_A2,family,noun,A2,General,254
word_0255_A2,often,adverb,A2,General,255
word_0256_B1,conditions,noun,B1,General,256
word_0257_A2,hand,noun,A2,General,257
word_0258_B1,production,noun,B1,General,258
word_0259_B1,national,noun,B1,General,259
word_0260_B2,amount,noun,B2,General,260
word_0261_A2,four,noun,A2,General,261
word_0262_A2,history,noun,A2,General,262
word_0263_B1,figure,noun,B1,General,263
word_0264_B1,necessary,adjective,B1,General,264
word_0265_A2,find,verb,A2,General,265
word_0266_B2,including,verb,B2,General,266
word_0267_A2,using,verb,A2,General,267
word_0268_B1,air,noun,B1,General,268
word_0269_A2,table,noun,A2,General,269
word_0270_B1,therefore,adverb,B1,General,270
word_0271_B1,following,verb,B1,General,271
word_0272_A2,others,noun,A2,General,272
word_0273_A2,called,verb,A2,General,273
word_0274_B1,rather,adverb,B1,General,274
word_0275_B2,percent,noun,B2,General,275
word_0276_B2,required,verb,B2,General,276
word_0277_B1,results,noun,B1,General,277
word_0278_A2,al,noun,A2,General,278
word_0279_C1,commission,noun,C1,General,279
word_0280_C1,god,noun,C1,General,280
word_0281_B2,provided,verb,B2,General,281
word_0282_B2,policy,noun,B2,General,282
word_0283_B1,chapter,noun,B1,General,283
word_0284_A2,came,verb,A2,General,284
word_0285_B2,property,noun,B2,General,285
word_0286_B1,level,noun,B1,General,286
word_0287_A2,set,verb,A2,General,287
word_0288_A2,book,noun,A2,General,288
word_0289_B1,far,adverb,B1,General,289
word_0290_A2,always,adverb,A2,General,290
word_0291_A2,field,noun,A2,General,291
word_0292_C1,times,noun,C1,General,292
word_0293_A2,side,noun,A2,General,293
word_0294_A2,full,adjective,A2,General,294
word_0295_B1,evidence,noun,B1,General,295
word_0296_A2,held,verb,A2,General,296
word_0297_B1,going,verb,B1,General,297
word_0298_A2,name,noun,A2,General,298
word_0299_A2,type,noun,A2,General,299
word_0300_B1,society,noun,B1,General,300
word_0301_B1,provide,verb,B1,General,301
word_0302_B2,analysis,noun,B2,General,302
word_0303_A2,why,adverb,A2,General,303
word_0304_B2,various,adjective,B2,General,304
word_0305_A2,put,verb,A2,General,305
word_0306_A2,head,noun,A2,General,306
word_0307_A2,problem,noun,A2,General,307
word_0308_A2,ii,noun,A2,General,308
word_0309_A2,am,verb,A2,General,309
word_0310_B2,least,adjective,B2,General,310
word_0311_A2,use,verb,A2,General,311
word_0312_A2,body,noun,A2,General,312
word_0313_B2,management,noun,B2,General,313
word_0314_A2,special,adjective,A2,General,314
word_0315_B1,cost,noun,B1,General,315
word_0316_B2,though,preposition,B2,General,316
word_0317_A2,become,verb,A2,General,317
word_0318_B1,based,verb,B1,General,318
word_0319_A2,let,verb,A2,General,319
word_0320_A2,due,adjective,A2,General,320
word_0321_B1,political,adjective,B1,General,321
word_0322_A2,matter,noun,A2,General,322
word_0323_A2,american,noun,A2,General,323
word_0324_A2,things,noun,A2,General,324
word_0325_B1,less,adjective,B1,General,325
word_0326_B1,position,noun,B1,General,326
word_0327_A2,want,verb,A2,General,327
word_0328_B1,trade,noun,B1,General,328
word_0329_A2,problems,noun,A2,General,329
word_0330_B1,done,verb,B1,General,330
word_0331_B2,total,adjective,B2,General,331
word_0332_B1,systems,noun,B1,General,332
word_0333_B1,bill,noun,B1,General,333
word_0334_A2,shown,verb,A2,General,334
word_0335_B1,cent,noun,B1,General,335
word_0336_B1,low,adjective,B1,General,336
word_0337_A2,five,noun,A2,General,337
word_0338_B1,areas,noun,B1,General,338
word_0339_A2,age,noun,A2,General,339
word_0340_C1,known,verb,C1,General,340
word_0341_A2,something,noun,A2,General,341
word_0342_B1,down,particle,B1,General,342
word_0343_B1,association,noun,B1,General,343
word_0344_B1,himself,pronoun,B1,General,344
word_0345_B2,district,noun,B2,General,345
word_0346_B2,economic,adjective,B2,General,346
word_0347_B1,common,adjective,B1,General,347
word_0348_B1,nature,noun,B1,General,348
word_0349_A2,later,adverb,A2,General,349
word_0350_B1,material,noun,B1,General,350
word_0351_B1,method,noun,B1,General,351
word_0352_C1,energy,noun,C1,General,352
word_0353_A2,studies,noun,A2,General,353
word_0354_B1,next,adjective,B1,General,354
word_0355_B2,tax,noun,B2,General,355
word_0356_A2,once,adverb,A2,General,356
word_0357_B2,industry,noun,B2,General,357
word_0358_A2,june,noun,A2,General,358
word_0359_A2,best,adjective,A2,General,359
word_0360_C1,community,noun,C1,General,360
word_0361_A2,away,adverb,A2,General,361
word_0362_A2,money,noun,A2,General,362
word_0363_B2,terms,noun,B2,General,363
word_0364_B1,market,noun,B1,General,364
word_0365_B1,public,noun,B1,General,365
word_0366_A2,words,noun,A2,General,366
word_0367_A2,party,noun,A2,General,367
word_0368_B1,human,adjective,B1,General,368
word_0369_A2,free,adjective,A2,General,369
word_0370_A2,change,noun,A2,General,370
word_0371_B1,right,noun,B1,General,371
word_0372_A2,london,noun,A2,General,372
word_0373_A2,above,preposition,A2,General,373
word_0374_A2,seen,verb,A2,General,374
word_0375_A2,paper,noun,A2,General,375
word_0376_A2,class,noun,A2,General,376
word_0377_B1,took,verb,B1,General,377
word_0378_A2,child,noun,A2,General,378
word_0379_B1,view,noun,B1,General,379
word_0380_B2,application,noun,B2,General,380
word_0381_B1,member,noun,B1,General,381
word_0382_B1,south,noun,B1,General,382
word_0383_A2,yet,adverb,A2,General,383
word_0384_A2,together,adverb,A2,General,384
word_0385_B1,similar,adjective,B1,General,385
word_0386_A2,almost,adverb,A2,General,386
word_0387_C1,particular,adjective,C1,General,387
word_0388_B1,off,particle,B1,General,388
word_0389_B1,secretary,noun,B1,General,389
word_0390_B2,press,noun,B2,General,390
word_0391_A2,price,noun,A2,General,391
word_0392_A2,left,verb,A2,General,392
word_0393_B2,income,noun,B2,General,393
word_0394_A2,room,noun,A2,General,394
word_0395_B1,products,noun,B1,General,395
word_0396_A2,already,adverb,A2,General,396
word_0397_B1,need,verb,B1,General,397
word_0398_B1,went,verb,B1,General,398
word_0399_A2,date,noun,A2,General,399
word_0400_B2,union,noun,B2,General,400
word_0401_B1,received,verb,B1,General,401
word_0402_B1,making,verb,B1,General,402
word_0403_A2,bank,noun,A2,General,403
word_0404_B2,treatment,noun,B2,General,404
word_0405_A2,students,noun,A2,General,405
word_0406_B1,death,noun,B1,General,406
word_0407_A2,rights,noun,A2,General,407
word_0408_B1,model,noun,B1,General,408
word_0409_B2,basis,noun,B2,General,409
word_0410_A2,result,noun,A2,General,410
word_0411_B1,considered,verb,B1,General,411
word_0412_A2,around,preposition,A2,General,412
word_0413_A2,asked,verb,A2,General,413
word_0414_B1,countries,noun,B1,General,414
word_0415_A2,food,noun,A2,General,415
word_0416_A2,nothing,noun,A2,General,416
word_0417_A2,changes,noun,A2,General,417
word_0418_B2,able,adjective,B2,General,418
word_0419_B2,surface,noun,B2,General,419
word_0420_A2,plan,noun,A2,General,420
word_0421_B2,council,noun,B2,General,421
word_0422_B1,purpose,noun,B1,General,422
word_0423_C1,means,noun,C1,General,423
word_0424_A2,july,noun,A2,General,424
word_0425_B1,early,adjective,B1,General,425
word_0426_A2,street,noun,A2,General,426
word_0427_B1,force,noun,B1,General,427
word_0428_B1,itself,pronoun,B1,General,428
word_0429_B2,growth,noun,B2,General,429
word_0430_B2,feet,noun,B2,General,430
word_0431_B1,include,verb,B1,General,431
word_0432_A2,right,adjective,A2,General,432
word_0433_B2,construction,noun,B2,General,433
word_0434_B1,major,adjective,B1,General,434
word_0435_A2,young,adjective,A2,General,435
word_0436_A2,college,noun,A2,General,436
word_0437_B1,thought,verb,B1,General,437
word_0438_B1,support,noun,B1,General,438
word_0439_B2,according,verb,B2,General,439
word_0440_B1,increased,verb,B1,General,440
word_0441_B1,oil,noun,B1,General,441
word_0442_B1,along,preposition,B1,General,442
word_0443_A2,higher,adjective,A2,General,443
word_0444_B1,groups,noun,B1,General,444
word_0445_A2,non,adjective,A2,General,445
word_0446_B1,knowledge,noun,B1,General,446
word_0447_B2,authority,noun,B2,General,447
word_0448_A2,true,adjective,A2,General,448
word_0449_A2,care,noun,A2,General,449
word_0450_A2,short,adjective,A2,General,450
word_0451_A2,building,noun,A2,General,451
word_0452_A2,washington,noun,A2,General,452
word_0453_B2,series,noun,B2,General,453
word_0454_B1,north,noun,B1,General,454
word_0455_B1,whole,adjective,B1,General,455
word_0456_A2,test,noun,A2,General,456
word_0457_B1,march,noun,B1,General,457
word_0458_A2,river,noun,A2,General,458
word_0459_B1,million,noun,B1,General,459
word_0460_A2,reason,noun,A2,General,460
word_0461_B1,experience,noun,B1,General,461
word_0462_B1,population,noun,B1,General,462
word_0463_B1,west,noun,B1,General,463
word_0464_A2,church,noun,A2,General,464
word_0465_A2,science,noun,A2,General,465
word_0466_B1,account,noun,B1,General,466
word_0467_A2,light,noun,A2,General,467
word_0468_A2,months,noun,A2,General,468
word_0469_B1,structure,noun,B1,General,469
word_0470_C1,project,noun,C1,General,470
word_0471_B1,effects,noun,B1,General,471
word_0472_A2,activities,noun,A2,General,472
word_0473_A2,real,adjective,A2,General,473
word_0474_A2,language,noun,A2,General,474
word_0475_B1,addition,noun,B1,General,475
word_0476_A2,show,verb,A2,General,476
word_0477_A2,whose,pronoun,A2,General,477
word_0478_B2,current,adjective,B2,General,478
word_0479_B2,equipment,noun,B2,General,479
word_0480_B2,paid,verb,B2,General,480
word_0481_B1,labor,noun,B1,General,481
word_0482_B1,capital,noun,B1,General,482
word_0483_A2,foreign,adjective,A2,General,483
word_0484_B1,ever,adverb,B1,General,484
word_0485_A2,et,noun,A2,General,485
word_0486_A2,father,noun,A2,General,486
word_0487_B1,single,adjective,B1,General,487
word_0488_B2,operation,noun,B2,General,488
word_0489_B1,training,noun,B1,General,489
word_0490_A2,told,verb,A2,General,490
word_0491_B1,plant,noun,B1,General,491
word_0492_A2,kind,noun,A2,General,492
word_0493_A2,usually,adverb,A2,General,493
word_0494_B1,methods,noun,B1,General,494
word_0495_B1,especially,adverb,B1,General,495
word_0496_A2,got,verb,A2,General,496
word_0497_B1,except,preposition,B1,General,497
word_0498_B1,themselves,pronoun,B1,General,498
word_0499_A2,design,noun,A2,General,499
word_0500_B1,specific,adjective,B1,General,500
word_0501_A2,greater,adjective,A2,General,501
word_0502_A2,described,verb,A2,General,502
word_0503_A2,eyes,noun,A2,General,503
word_0504_B1,perhaps,adverb,B1,General,504
word_0505_B1,statement,noun,B1,General,505
word_0506_A2,read,verb,A2,General,506
